id,question,answer
nq_3537,where does the electron transport chain get its electrons from?,NADH and FADH2
nq_3537,where does the electron transport chain get its electrons from?,Water (split by photosystem II)
nq_354,what ethnic group celebrates its contribution to america in october?,Filipino Americans
nq_354,what ethnic group celebrates its contribution to america in october?,Italian Americans
nq_354,what ethnic group celebrates its contribution to america in october?,Polish Americans
nq_3543,who sings god gave rock and roll to you?,Argent
nq_3543,who sings god gave rock and roll to you?,Kiss
nq_3543,who sings god gave rock and roll to you?,Petra
nq_3546,who made the first spanish landing on the mainland of north america?,Christopher Columbus
nq_3546,who made the first spanish landing on the mainland of north america?,Juan Ponce de León
nq_3549,when did bird is the word come out?,1963 (Surfin’ Bird – The Trashmen)
nq_3549,when did bird is the word come out?,1963 (The Bird’s the Word – The Rivingtons)
nq_3552,where did they film the royal tv series?,"Blenheim Palace, Oxfordshire, and various London locations, England (for E!’s The Royals)"
nq_3552,where did they film the royal tv series?,"Scarborough, North Yorkshire, England (for ITV’s The Royal)"
nq_3555,who plays the prosecutor on law and order svu?,Diane Neal
nq_3555,who plays the prosecutor on law and order svu?,Michaela McManus
nq_3555,who plays the prosecutor on law and order svu?,Peter Scanavino
nq_3555,who plays the prosecutor on law and order svu?,Philip Winchester
nq_3555,who plays the prosecutor on law and order svu?,Raúl Esparza
nq_3555,who plays the prosecutor on law and order svu?,Stephanie March
nq_3565,who ruled the ottoman empire in the 1500s?,Bayezid II
nq_3565,who ruled the ottoman empire in the 1500s?,Mehmed III
nq_3565,who ruled the ottoman empire in the 1500s?,Murad III
nq_3565,who ruled the ottoman empire in the 1500s?,Selim I
nq_3565,who ruled the ottoman empire in the 1500s?,Selim II
nq_3565,who ruled the ottoman empire in the 1500s?,Suleiman the Magnificent (Suleiman I)
nq_3571,who has a ring of power in lotr?,Bilbo Baggins
nq_3571,who has a ring of power in lotr?,Elrond
nq_3571,who has a ring of power in lotr?,Frodo Baggins
nq_3571,who has a ring of power in lotr?,Galadriel
nq_3571,who has a ring of power in lotr?,Gandalf
nq_3571,who has a ring of power in lotr?,Gollum (Sméagol)
nq_3571,who has a ring of power in lotr?,Samwise Gamgee
nq_3575,what year is it for the jewish calendar?,5786
nq_3586,where do they get the hair for a hair transplant?,"patient’s own beard or body hair (e.g., chest)"
nq_3586,where do they get the hair for a hair transplant?,patient’s own scalp (back and sides/occipital safe donor zone)
nq_3592,when did india win their first cricket match?,"1 December 2006 (first T20I win, v South Africa, Johannesburg)"
nq_3592,when did india win their first cricket match?,"10 February 1952 (first Test win, v England, Madras/Chennai)"
nq_3592,when did india win their first cricket match?,"11 June 1975 (first ODI win, v East Africa, 1975 World Cup)"
nq_3593,the era of the great mughals began with the accession of?,Akbar
nq_3593,the era of the great mughals began with the accession of?,Babur
nq_3599,who dies in transformers revenge of the fallen?,Alice
nq_3599,who dies in transformers revenge of the fallen?,Demolishor
nq_3599,who dies in transformers revenge of the fallen?,Devastator
nq_3599,who dies in transformers revenge of the fallen?,Grindor
nq_3599,who dies in transformers revenge of the fallen?,Jetfire
nq_3599,who dies in transformers revenge of the fallen?,Optimus Prime
nq_3599,who dies in transformers revenge of the fallen?,Ravage
nq_3599,who dies in transformers revenge of the fallen?,Scorponok
nq_3599,who dies in transformers revenge of the fallen?,Sideways
nq_3599,who dies in transformers revenge of the fallen?,The Fallen
nq_3607,when was the miraculous journey of edward tulane published?,2006
nq_3607,when was the miraculous journey of edward tulane published?,"February 14, 2006"
nq_3609,when was as you like it first performed?,"20 February 1603 (earliest recorded performance, Wilton House)"
nq_3609,when was as you like it first performed?,c. 1599–1600 (probable first staging at the Globe)
nq_361,who were the bands in pitch perfect 3?,Evermoist
nq_361,who were the bands in pitch perfect 3?,Saddle Up
nq_361,who were the bands in pitch perfect 3?,Young Sparrow & DJ Dragon Nutz
nq_3610,when did computer become widespread in homes and schools?,Homes: late 1990s–early 2000s
nq_3610,when did computer become widespread in homes and schools?,Schools: late 1980s–1990s
nq_367,who has been designed as the new finance secretary of india?,Ajay Bhushan Pandey
nq_367,who has been designed as the new finance secretary of india?,Hasmukh Adhia
nq_367,who has been designed as the new finance secretary of india?,T V Somanathan
nq_372,who decides where the super bowl is played?,the NFL
nq_372,who decides where the super bowl is played?,the NFL team owners
nq_376,who is in charge of ratifying treaties in the us?,The President (after Senate advice and consent)
nq_376,who is in charge of ratifying treaties in the us?,The U.S. Senate
nq_378,days of our lives cast doug and julie?,Bill Hayes and Susan Seaforth Hayes
nq_380,who plays whitey bulger 's girlfriend in black mass?,Dakota Johnson
nq_380,who plays whitey bulger 's girlfriend in black mass?,Sienna Miller
nq_382,what are the two extracellular fluid compartments in the body?,interstitial fluid
nq_382,what are the two extracellular fluid compartments in the body?,plasma
nq_389,what is the largest city in the united states per square mile?,"Guttenberg, New Jersey"
nq_389,what is the largest city in the united states per square mile?,"Jacksonville, Florida"
nq_389,what is the largest city in the united states per square mile?,"Juneau, Alaska"
nq_389,what is the largest city in the united states per square mile?,"Sitka, Alaska"
nq_389,what is the largest city in the united states per square mile?,"Union City, New Jersey"
nq_39,who is rose in the fall season 2?,Rose Stagg
nq_39,who is rose in the fall season 2?,Valene Kane
nq_390,when was the last time the vikings made the superbowl?,1976 season
nq_390,when was the last time the vikings made the superbowl?,1977
nq_390,when was the last time the vikings made the superbowl?,"January 9, 1977"
nq_391,where does new crust come from in sea floor spreading?,mid-ocean ridges (divergent plate boundaries)
nq_391,where does new crust come from in sea floor spreading?,upwelling magma from the mantle that cools and solidifies at the ridge
nq_399,who played guitar on my guitar gently weeps?,Eric Clapton
nq_399,who played guitar on my guitar gently weeps?,George Harrison
nq_405,the witch and the hundred knight 2 us release?,"March 27, 2018"
nq_407,total strength of judges in supreme court of india?,31
nq_407,total strength of judges in supreme court of india?,34
nq_41,when did the dallas cowboys win their last playoff game?,"January 16, 2023"
nq_41,when did the dallas cowboys win their last playoff game?,"January 5, 2019"
nq_410,ganglion axons forming the optic nerve run to the?,lateral geniculate nucleus (lateral geniculate body) of the thalamus
nq_410,ganglion axons forming the optic nerve run to the?,optic chiasm
nq_411,when does i 'm a celebrity get me out of here start in the uk?,25 August 2002 (original UK premiere on ITV)
nq_411,when does i 'm a celebrity get me out of here start in the uk?,"Mid-November each year, typically a Sunday at 9pm on ITV"
nq_413,where do peaches come from in the us?,California
nq_413,where do peaches come from in the us?,Georgia
nq_413,where do peaches come from in the us?,South Carolina
nq_423,when did the government change the retirement age?,France (2023)
nq_423,when did the government change the retirement age?,Germany (2007)
nq_423,when did the government change the retirement age?,Russia (2018)
nq_423,when did the government change the retirement age?,United Kingdom (2011)
nq_423,when did the government change the retirement age?,United States (1983)
nq_424,who plays jill bigelow in line of duty?,Polly Walker
nq_427,where was the statue of liberty originally built?,France
nq_427,where was the statue of liberty originally built?,"Paris, France"
nq_434,who invented the glasses that give sight to the blind?,Amnon Shashua and Ziv Aviram
nq_434,who invented the glasses that give sight to the blind?,Conrad Lewis
nq_434,who invented the glasses that give sight to the blind?,Mark S. Humayun
nq_435,when do we find out luke and leia are siblings?,"Star Wars: Episode III - Revenge of the Sith (2005), at their birth as twins"
nq_435,when do we find out luke and leia are siblings?,"Star Wars: Episode VI - Return of the Jedi (1983), during Luke's conversation with Obi-Wan's ghost on Dagobah after Yoda dies"
nq_436,who wrote the original little red riding hood story?,Brothers Grimm (Jacob and Wilhelm Grimm)
nq_436,who wrote the original little red riding hood story?,Charles Perrault
nq_438,who won the men 's ice skating 2018?,Nathan Chen
nq_438,who won the men 's ice skating 2018?,Yuzuru Hanyu
nq_439,number of employees in the department of health and human services?,"80,000"
nq_439,number of employees in the department of health and human services?,"90,000"
nq_440,which is the fastest train in india and what is its speed?,Gatimaan Express – 160 km/h operational
nq_440,which is the fastest train in india and what is its speed?,Vande Bharat Express (Train 18) – 180 km/h design/test (160 km/h operational)
nq_446,who does the voice of the beast in the new movie?,Dan Stevens
nq_446,who does the voice of the beast in the new movie?,Kelsey Grammer
nq_455,who has the most sacks in college football?,"Jaylon Ferguson (Louisiana Tech) — most career sacks in FBS, 45.0"
nq_455,who has the most sacks in college football?,"Terrell Suggs (Arizona State) — most single-season sacks in FBS, 24.0 (2002)"
nq_458,who is the cast of despicable me 3?,Dana Gaier
nq_458,who is the cast of despicable me 3?,Jenny Slate
nq_458,who is the cast of despicable me 3?,Julie Andrews
nq_458,who is the cast of despicable me 3?,Kristen Wiig
nq_458,who is the cast of despicable me 3?,Miranda Cosgrove
nq_458,who is the cast of despicable me 3?,Nev Scharrel
nq_458,who is the cast of despicable me 3?,Pierre Coffin
nq_458,who is the cast of despicable me 3?,Steve Carell
nq_458,who is the cast of despicable me 3?,Steve Coogan
nq_458,who is the cast of despicable me 3?,Trey Parker
nq_464,which animal is the carrier of the h1n1 virus?,pigs (swine)
nq_464,which animal is the carrier of the h1n1 virus?,wild birds (especially waterfowl)
nq_469,who stole the mona lisa from the louvre in 1911?,Vincenzo Peruggia
nq_472,when did billy do n 't be a hero come out?,April 1974 (US release by Bo Donaldson & the Heywoods)
nq_472,when did billy do n 't be a hero come out?,February 1974 (UK release by Paper Lace)
nq_474,when did the tradition of self government began in america?,1619 — Virginia House of Burgesses
nq_474,when did the tradition of self government began in america?,1620 — Mayflower Compact
nq_474,when did the tradition of self government began in america?,1639 — Fundamental Orders of Connecticut
nq_478,what is the name of son of lord krishna?,Pradyumna
nq_478,what is the name of son of lord krishna?,Samba
nq_48,what was the city of beijing previously known as?,Dadu (Khanbaliq/Cambaluc)
nq_48,what was the city of beijing previously known as?,Peiping (Beiping)
nq_48,what was the city of beijing previously known as?,Peking
nq_48,what was the city of beijing previously known as?,Yanjing
nq_484,who drove the number 18 car in nascar?,Bobby Labonte
nq_484,who drove the number 18 car in nascar?,Dale Jarrett
nq_484,who drove the number 18 car in nascar?,J.J. Yeley
nq_484,who drove the number 18 car in nascar?,Kyle Busch
nq_497,when was the last time minnesota vikings was in the super bowl?,1976 season
nq_497,when was the last time minnesota vikings was in the super bowl?,1977
nq_497,when was the last time minnesota vikings was in the super bowl?,Super Bowl XI
nq_505,where do the florida marlins have spring training?,"Jupiter, Florida (Roger Dean Stadium)"
nq_505,where do the florida marlins have spring training?,"Viera, Florida (Space Coast Stadium)"
nq_509,when was the term social justice first used?,1824 (earliest attested use in English print)
nq_509,when was the term social justice first used?,"1843 (coinage by Luigi Taparelli, in Italian)"
nq_516,what is the word for clarified butter in the balkans and middle east?,ghi/ghee
nq_516,what is the word for clarified butter in the balkans and middle east?,maslo
nq_516,what is the word for clarified butter in the balkans and middle east?,sade yağ (sadeyağ)
nq_516,what is the word for clarified butter in the balkans and middle east?,samneh/samna/samin
nq_517,who played the girl in silence of the lambs?,Brooke Smith
nq_517,who played the girl in silence of the lambs?,Jodie Foster
nq_518,what is the name of the compound p4010?,phosphorus pentoxide
nq_518,what is the name of the compound p4010?,phosphorus(V) oxide
nq_518,what is the name of the compound p4010?,tetraphosphorus decaoxide
nq_524,who is under the mask of darth vader?,Anakin Skywalker
nq_524,who is under the mask of darth vader?,Bob Anderson
nq_524,who is under the mask of darth vader?,Daniel Naprous
nq_524,who is under the mask of darth vader?,David Prowse
nq_524,who is under the mask of darth vader?,Hayden Christensen
nq_524,who is under the mask of darth vader?,James Earl Jones
nq_524,who is under the mask of darth vader?,Sebastian Shaw
nq_524,who is under the mask of darth vader?,Spencer Wilding
nq_527,when was harry potter and the philosophers stone published?,1 September 1998
nq_527,when was harry potter and the philosophers stone published?,26 June 1997
nq_530,what state did they film daddy 's home 2?,Massachusetts
nq_538,who dies in the lost city of z?,Jack Fawcett
nq_538,who dies in the lost city of z?,Percy Fawcett
nq_538,who dies in the lost city of z?,Raleigh Rimmell
nq_539,where do the astros play for spring training?,"Osceola County Stadium, Kissimmee, Florida"
nq_539,where do the astros play for spring training?,"The Ballpark of the Palm Beaches, West Palm Beach, Florida"
nq_542,when was the last time dallas cowboys won the super bowl?,1995 season
nq_542,when was the last time dallas cowboys won the super bowl?,"January 28, 1996"
nq_545,where does the eurostar train arrives in london?,St Pancras International
nq_545,where does the eurostar train arrives in london?,Waterloo International
nq_554,who invented the printing press and in what year?,Johannes Gutenberg - c. 1440
nq_554,who invented the printing press and in what year?,Johannes Gutenberg - c. 1450
nq_56,name the process of fusion of an egg with a sperm?,fertilization
nq_56,name the process of fusion of an egg with a sperm?,syngamy
nq_565,who is the team that beat the eagles this season?,Kansas City Chiefs
nq_565,who is the team that beat the eagles this season?,New York Jets
nq_565,who is the team that beat the eagles this season?,Washington Commanders
nq_57,the vascular layer of the eye is the?,Choroid
nq_57,the vascular layer of the eye is the?,Uvea (vascular tunic)
nq_572,who is playing halftime show super bowl 50?,Coldplay
nq_572,who is playing halftime show super bowl 50?,Coldplay with Beyoncé and Bruno Mars
nq_573,the assassination of gianni versace american crime story season 2 episode 2?,"Original air date: January 24, 2018"
nq_573,the assassination of gianni versace american crime story season 2 episode 2?,Title: Manhunt
nq_581,what does the ghost of christmas present sprinkle from his torch?,a few drops of water
nq_581,what does the ghost of christmas present sprinkle from his torch?,his blessing/a peculiar flavour (often described as incense or good cheer)
nq_586,who are nominated for president of india 2017?,Meira Kumar
nq_586,who are nominated for president of india 2017?,Ram Nath Kovind
nq_589,who drafted the document of the un declaration of human rights?,Eleanor Roosevelt
nq_589,who drafted the document of the un declaration of human rights?,John Peters Humphrey
nq_589,who drafted the document of the un declaration of human rights?,René Cassin
nq_59,when was the first documented case of tool mark identification?,1835 (Henry Goddard’s bullet–mold mark case in London)
nq_59,when was the first documented case of tool mark identification?,1906 (Paul Jeserich’s comparison of burglary tool marks in Germany)
nq_591,who plays alec ramsay in the black stallion?,Kelly Reno
nq_591,who plays alec ramsay in the black stallion?,Richard Ian Cox
nq_592,who wrote you must have been a beautiful baby?,Harry Warren
nq_592,who wrote you must have been a beautiful baby?,Johnny Mercer
nq_597,who has won the most games in nfl 2017?,Minnesota Vikings
nq_597,who has won the most games in nfl 2017?,New England Patriots
nq_597,who has won the most games in nfl 2017?,Philadelphia Eagles
nq_597,who has won the most games in nfl 2017?,Pittsburgh Steelers
nq_6,who wrote the first declaration of human rights?,Cyrus the Great
nq_6,who wrote the first declaration of human rights?,George Mason
nq_6,who wrote the first declaration of human rights?,Marquis de Lafayette
nq_60,who has won the mens singles title in the australian open tennis tournament?,Jannik Sinner
nq_60,who has won the mens singles title in the australian open tennis tournament?,Novak Djokovic
nq_607,when was the reaper invented by cyrus mccormick?,1831
nq_607,when was the reaper invented by cyrus mccormick?,1834
nq_609,when did seattle slew win the triple crown?,1977
nq_609,when did seattle slew win the triple crown?,"June 11, 1977"
nq_610,who did michigan state play in the rose bowl?,Stanford
nq_610,who did michigan state play in the rose bowl?,UCLA
nq_610,who did michigan state play in the rose bowl?,USC
nq_611,when did teenage mutant ninja turtles come out?,December 1987 (animated TV series debut)
nq_611,when did teenage mutant ninja turtles come out?,March 1990 (first live-action film)
nq_611,when did teenage mutant ninja turtles come out?,May 1984 (original comic)
nq_613,who won the silver medal in womens figure skating?,Alexandra Trusova
nq_613,who won the silver medal in womens figure skating?,Evgenia Medvedeva
nq_613,who won the silver medal in womens figure skating?,Mao Asada
nq_613,who won the silver medal in womens figure skating?,Yuna Kim
nq_614,who lived in jamestown before the arrival of the english?,Native Americans
nq_614,who lived in jamestown before the arrival of the english?,Paspahegh tribe
nq_614,who lived in jamestown before the arrival of the english?,Powhatan (Powhatan Confederacy)
nq_615,who is covering the winter olympics in canada?,CBC/Radio-Canada
nq_615,who is covering the winter olympics in canada?,CTV
nq_615,who is covering the winter olympics in canada?,Sportsnet
nq_615,who is covering the winter olympics in canada?,TSN
nq_618,who destroyed the first temple and exiled the two tribes of judah to babylon?,King Nebuchadnezzar II of Babylon
nq_618,who destroyed the first temple and exiled the two tribes of judah to babylon?,Nebuzaradan
nq_618,who destroyed the first temple and exiled the two tribes of judah to babylon?,the Babylonians (Chaldeans)
nq_619,where is the white castle that harold and kumar go to?,"Cherry Hill, New Jersey"
nq_619,where is the white castle that harold and kumar go to?,"Toronto area, Ontario, Canada"
nq_622,when did linkin park release one more light?,"May 19, 2017"
nq_622,when did linkin park release one more light?,"October 3, 2017"
nq_629,who is the coach of university of kentucky basketball?,Kenny Brooks
nq_629,who is the coach of university of kentucky basketball?,Mark Pope
nq_63,who wrote the song the glory of love?,Billy Hill
nq_63,who wrote the song the glory of love?,"Peter Cetera, David Foster, Diane Nini"
nq_634,how many times have real madrid won the european cup.in paris?,1
nq_634,how many times have real madrid won the european cup.in paris?,2
nq_634,how many times have real madrid won the european cup.in paris?,3
nq_635,total goals scored by ronaldo in la liga?,Cristiano Ronaldo: 311
nq_635,total goals scored by ronaldo in la liga?,Ronaldo Nazário: 117
nq_638,where was the tv show friday night lights filmed?,"Austin, Texas"
nq_638,where was the tv show friday night lights filmed?,"Del Valle, Texas"
nq_638,where was the tv show friday night lights filmed?,"Pflugerville, Texas"
nq_64,who wrote the book the origin of species?,Charles Darwin
nq_64,who wrote the book the origin of species?,Nino Ricci
nq_641,who played in last train from gun hill?,Anthony Quinn
nq_641,who played in last train from gun hill?,Carolyn Jones
nq_641,who played in last train from gun hill?,Earl Holliman
nq_641,who played in last train from gun hill?,Kirk Douglas
nq_642,who is the queen of hearts in alice in wonderland?,Helena Bonham Carter (2010 Tim Burton film)
nq_642,who is the queen of hearts in alice in wonderland?,"The Queen of Hearts, a fictional playing-card monarch in Lewis Carroll’s Alice’s Adventures in Wonderland"
nq_642,who is the queen of hearts in alice in wonderland?,"Verna Felton (voice, Disney’s 1951 animated film)"
nq_645,who sings somebody 's watching me with michael jackson?,Jermaine Jackson
nq_645,who sings somebody 's watching me with michael jackson?,Rockwell
nq_65,who sang rip it up and start again?,Edwyn Collins
nq_65,who sang rip it up and start again?,Orange Juice
nq_652,who sang i put a spell on you in hocus pocus?,Bette Midler
nq_652,who sang i put a spell on you in hocus pocus?,"The Sanderson Sisters (Bette Midler, Sarah Jessica Parker, and Kathy Najimy)"
nq_655,who was the bad guy in silence of the lambs?,Dr. Hannibal Lecter
nq_655,who was the bad guy in silence of the lambs?,"Jame ""Buffalo Bill"" Gumb"
nq_667,what type of novel is goodbye mr chips?,Novella (short novel)
nq_667,what type of novel is goodbye mr chips?,School story
nq_667,what type of novel is goodbye mr chips?,Sentimental/nostalgic novel
nq_675,who discovered that neural communication between cells occurs through chemicals?,Henry Dale
nq_675,who discovered that neural communication between cells occurs through chemicals?,Otto Loewi
nq_676,who has the most ncaa basketball tournament appearances?,Kentucky (men’s Division I team)
nq_676,who has the most ncaa basketball tournament appearances?,Mike Krzyzewski (head coach)
nq_676,who has the most ncaa basketball tournament appearances?,Tennessee Lady Volunteers (women’s Division I team)
nq_690,when was the last time vancouver had an earthquake?,The most recent earthquake felt in Vancouver
nq_690,when was the last time vancouver had an earthquake?,The most recent earthquake with an epicenter in the City/Metro Vancouver area
nq_690,when was the last time vancouver had an earthquake?,"The most recent significant (e.g., M≥4–5) earthquake that affected Vancouver"
nq_692,who sang the original scooby doo theme song?,Austin Roberts
nq_692,who sang the original scooby doo theme song?,Larry Marks
nq_699,what is the latest version of microsoft office 2010?,Office 2010 Service Pack 2 (SP2)
nq_699,what is the latest version of microsoft office 2010?,The final post-SP2 fully patched build released October 2020 (end of support)
nq_7,who is the owner of reading football club?,Dai Yongge
nq_7,who is the owner of reading football club?,Dai Yongge and Dai Xiuli
nq_70,turkish finnish and hungarian belong to which family of languages?,Finnish and Hungarian=Uralic)
nq_70,turkish finnish and hungarian belong to which family of languages?,No single family (modern consensus: Turkish=Turkic
nq_70,turkish finnish and hungarian belong to which family of languages?,Ural-Altaic
nq_700,who added a press room to the white house?,Franklin D. Roosevelt
nq_700,who added a press room to the white house?,Richard Nixon
nq_705,an object that moves around an external axis is said to be?,orbiting
nq_705,an object that moves around an external axis is said to be?,revolving
nq_707,who signed the declaration of independence for maryland?,Charles Carroll of Carrollton
nq_707,who signed the declaration of independence for maryland?,Samuel Chase
nq_707,who signed the declaration of independence for maryland?,Thomas Stone
nq_707,who signed the declaration of independence for maryland?,William Paca
nq_713,when did the uk and us become allies?,"1917 (U.S. entry into World War I, fighting alongside Britain as an Associated Power)"
nq_713,when did the uk and us become allies?,"1949 (North Atlantic Treaty/NATO, a formal peacetime alliance)"
nq_713,when did the uk and us become allies?,"December 1941 (U.S. entry into World War II, becoming Britain’s wartime ally)"
nq_72,a bond that the issuer has the right to pay off before its maturity date?,callable bond
nq_72,a bond that the issuer has the right to pay off before its maturity date?,redeemable bond
nq_730,where are the 10 plagues found in the bible?,Exodus 7–12 (esp. 7:14–12:32)
nq_730,where are the 10 plagues found in the bible?,Psalm 105:27–36
nq_730,where are the 10 plagues found in the bible?,Psalm 78:43–51
nq_733,how many episodes are there in modern family?,250
nq_733,how many episodes are there in modern family?,251
nq_741,where was the world economic forum held this year?,"Davos, Switzerland"
nq_741,where was the world economic forum held this year?,Online/virtual
nq_742,where are the giant redwoods located in california?,"Northern and central California coast (coast redwoods, e.g., Redwood National and State Parks, Humboldt Redwoods)"
nq_742,where are the giant redwoods located in california?,"Western slopes of the Sierra Nevada (giant sequoias, e.g., Sequoia & Kings Canyon, Yosemite's Mariposa Grove, Calaveras Big Trees)"
nq_746,two main types of research methods used in psychology?,Experimental and correlational (non-experimental/descriptive)
nq_746,two main types of research methods used in psychology?,Quantitative and qualitative
nq_771,where is natural gas found in the us?,Alaska North Slope and Cook Inlet
nq_771,where is natural gas found in the us?,Anadarko Basin – SCOOP/STACK (OK)
nq_771,where is natural gas found in the us?,Appalachian Basin (Marcellus & Utica Shales – PA/WV/OH/NY)
nq_771,where is natural gas found in the us?,Bakken/Three Forks (ND/MT)
nq_771,where is natural gas found in the us?,Barnett Shale (TX)
nq_771,where is natural gas found in the us?,Eagle Ford Shale (TX)
nq_771,where is natural gas found in the us?,Gulf of Mexico (offshore)
nq_771,where is natural gas found in the us?,Haynesville Shale (LA/TX)
nq_771,where is natural gas found in the us?,Permian Basin (TX/NM)
nq_771,where is natural gas found in the us?,Piceance/Uintah/Green River Basins (CO/UT/WY)
nq_777,how many cracker barrels in the united states?,660
nq_777,how many cracker barrels in the united states?,664
nq_777,how many cracker barrels in the united states?,665
nq_780,how many countries does cadbury sell its products?,more than 50 countries
nq_780,how many countries does cadbury sell its products?,more than 60 countries
nq_785,with a land area of 54 314 square miles where does wisconsin rank among the 50 states?,25th
nq_788,when did the east india company take control of india?,1757
nq_788,when did the east india company take control of india?,1765
nq_788,when did the east india company take control of india?,1818
nq_79,where are most nutrients absorbed in the human digestive tract?,jejunum
nq_79,where are most nutrients absorbed in the human digestive tract?,small intestine
nq_799,who won the champions league final in 2016?,Lyon
nq_799,who won the champions league final in 2016?,Real Madrid
nq_80,when do primary ossification centers appear in an embryo?,Around the 7th week of intrauterine life
nq_80,when do primary ossification centers appear in an embryo?,Around the 8th week of intrauterine life (end of embryonic period)
nq_80,when do primary ossification centers appear in an embryo?,During the 7th–8th week of intrauterine life
nq_801,where was the movie strangers prey at night filmed?,"Cincinnati, Ohio, USA"
nq_801,where was the movie strangers prey at night filmed?,"Covington, Kentucky, USA"
nq_803,when was i do n 't like mondays released?,13 July 1979 (UK single release by The Boomtown Rats)
nq_803,when was i do n 't like mondays released?,1979 (album The Fine Art of Surfacing including the song)
nq_81,where does kevins family go in home alone 2?,Florida
nq_81,where does kevins family go in home alone 2?,"Miami, Florida"
nq_816,when did korea separate into north and south?,1945
nq_816,when did korea separate into north and south?,1948
nq_816,when did korea separate into north and south?,1953
nq_817,who discovered the atom and in what year?,"Democritus, c. 400 BCE"
nq_817,who discovered the atom and in what year?,"John Dalton, 1808"
nq_822,where was the first nhl hockey game played?,"Dey’s Arena (Ottawa, Ontario)"
nq_822,where was the first nhl hockey game played?,"Montreal Arena (Montreal, Quebec)"
nq_834,which domain of life are humans members of?,Eukarya
nq_84,what are the top five wine producing states?,California
nq_84,what are the top five wine producing states?,New York
nq_84,what are the top five wine producing states?,Oregon
nq_84,what are the top five wine producing states?,Texas
nq_84,what are the top five wine producing states?,Washington
nq_846,who are the artists in the traveling wilburys?,Bob Dylan
nq_846,who are the artists in the traveling wilburys?,George Harrison
nq_846,who are the artists in the traveling wilburys?,Jeff Lynne
nq_846,who are the artists in the traveling wilburys?,Roy Orbison
nq_846,who are the artists in the traveling wilburys?,Tom Petty
nq_847,who plays artemisia in 300 rise of an empire?,Caitlin Carmichael
nq_847,who plays artemisia in 300 rise of an empire?,Eva Green
nq_847,who plays artemisia in 300 rise of an empire?,Jade Chynoweth
nq_848,who is the most played artist on spotify?,Bad Bunny
nq_848,who is the most played artist on spotify?,Drake
nq_848,who is the most played artist on spotify?,Taylor Swift
nq_848,who is the most played artist on spotify?,The Weeknd
nq_850,where are haploid cells found in the human body?,egg cells (ova/secondary oocytes) in the ovaries
nq_850,where are haploid cells found in the human body?,sperm cells in the testes
nq_852,when is the last time the new york giants won the super bowl?,2011 season
nq_852,when is the last time the new york giants won the super bowl?,"February 5, 2012"
nq_859,who issued gold coins for the first time in india?,Gupta dynasty
nq_859,who issued gold coins for the first time in india?,Kanishka
nq_859,who issued gold coins for the first time in india?,Vima Kadphises
nq_861,what do mobile numbers start with in the uk?,+447
nq_861,what do mobile numbers start with in the uk?,07
nq_863,who is the present rajya sabha speaker of india?,Harivansh Narayan Singh
nq_863,who is the present rajya sabha speaker of india?,Jagdeep Dhankhar
nq_866,who is the guy on keeping up with the kardashians?,Corey Gamble
nq_866,who is the guy on keeping up with the kardashians?,Kanye West
nq_866,who is the guy on keeping up with the kardashians?,Kris Humphries
nq_866,who is the guy on keeping up with the kardashians?,Lamar Odom
nq_866,who is the guy on keeping up with the kardashians?,Rob Kardashian
nq_866,who is the guy on keeping up with the kardashians?,Scott Disick
nq_866,who is the guy on keeping up with the kardashians?,Tristan Thompson
nq_867,who has the most catches in nfl history?,Brandon Marshall
nq_867,who has the most catches in nfl history?,Jerry Rice
nq_867,who has the most catches in nfl history?,Michael Thomas
nq_87,who wrote there 's a guy works down the chip shop lyrics?,Kirsty MacColl
nq_87,who wrote there 's a guy works down the chip shop lyrics?,Philip Rambow
nq_874,who is the valley of the dolls based on?,Betty Hutton
nq_874,who is the valley of the dolls based on?,Carole Landis
nq_874,who is the valley of the dolls based on?,Ethel Merman
nq_874,who is the valley of the dolls based on?,Judy Garland
nq_874,who is the valley of the dolls based on?,Marilyn Monroe
nq_876,where are trigger points located in the body?,"At specific standardized tender-point sites used in fibromyalgia (e.g., around the neck/shoulders, chest, elbows, hips, and knees)"
nq_876,where are trigger points located in the body?,Within taut bands of skeletal muscle (myofascial tissue)
nq_881,how long has it been since eagles went to super bowl?,13 years (gap between 2005 and 2018 appearances)
nq_881,how long has it been since eagles went to super bowl?,5 years (gap between 2018 and 2023 appearances)
nq_881,how long has it been since eagles went to super bowl?,"about 1 year (as of late 2024, since Feb 2023)"
nq_886,what is an example of a tricyclic antidepressant?,amitriptyline
nq_886,what is an example of a tricyclic antidepressant?,clomipramine
nq_886,what is an example of a tricyclic antidepressant?,desipramine
nq_886,what is an example of a tricyclic antidepressant?,doxepin
nq_886,what is an example of a tricyclic antidepressant?,imipramine
nq_886,what is an example of a tricyclic antidepressant?,nortriptyline
nq_887,who won mark and goal of the year 2017?,Daniel Rioli (Goal of the Year)
nq_887,who won mark and goal of the year 2017?,Joe Daniher (Mark of the Year)
nq_889,when 's the last time philly won the superbowl?,2017 season
nq_889,when 's the last time philly won the superbowl?,"February 4, 2018"
nq_892,what is the most famous building in rennes?,Parlement de Bretagne (Parliament of Brittany)
nq_892,what is the most famous building in rennes?,Rennes Cathedral (Saint-Pierre de Rennes)
nq_892,what is the most famous building in rennes?,Rennes City Hall (Hôtel de Ville de Rennes)
